Gmt time,Open,High,Low,Close,Volume
30.04.2017 00:00:00.000,1.09150,1.09161,1.08944,1.09061,7414.9502
01.05.2017 00:00:00.000,1.09062,1.09241,1.08844,1.09089,81809.3438
02.05.2017 00:00:00.000,1.09090,1.09364,1.08884,1.09350,135839.0625
03.05.2017 00:00:00.000,1.09351,1.09371,1.08818,1.08885,159841.8281
04.05.2017 00:00:00.000,1.08885,1.09874,1.08751,1.09808,194119.1875
05.05.2017 00:00:00.000,1.09809,1.10000,1.09500,1.09990,177343.7969
07.05.2017 00:00:00.000,1.10216,1.10227,1.09637,1.09651,15007.7197
08.05.2017 00:00:00.000,1.09651,1.09971,1.09166,1.09269,182280.8281
09.05.2017 00:00:00.000,1.09270,1.09337,1.08637,1.08865,183889.5781
10.05.2017 00:00:00.000,1.08864,1.08984,1.08534,1.08675,161028.4531
11.05.2017 00:00:00.000,1.08675,1.08932,1.08393,1.08647,150276.9063
12.05.2017 00:00:00.000,1.08647,1.09344,1.08560,1.09339,149323.1563
14.05.2017 00:00:00.000,1.09327,1.09356,1.09230,1.09282,7080.02
15.05.2017 00:00:00.000,1.09283,1.09897,1.09229,1.09803,139068.9063
16.05.2017 00:00:00.000,1.09803,1.10975,1.09794,1.10937,179334.0781
17.05.2017 00:00:00.000,1.10936,1.11713,1.10819,1.11545,213824.5156
18.05.2017 00:00:00.000,1.11546,1.11722,1.10761,1.11105,258669.8438
19.05.2017 00:00:00.000,1.11105,1.12121,1.10996,1.12080,202051.75
21.05.2017 00:00:00.000,1.11997,1.12102,1.11984,1.12035,11194.0703
22.05.2017 00:00:00.000,1.12035,1.12637,1.11617,1.12377,207391.6563
23.05.2017 00:00:00.000,1.12375,1.12683,1.11753,1.11792,239838.7656
24.05.2017 00:00:00.000,1.11792,1.12336,1.11687,1.12308,236423.5625
25.05.2017 00:00:00.000,1.12310,1.12505,1.11940,1.12103,197601.0625
26.05.2017 00:00:00.000,1.12103,1.12348,1.11609,1.11841,186661.3281
28.05.2017 00:00:00.000,1.11769,1.11853,1.11730,1.11762,7759.6001
29.05.2017 00:00:00.000,1.11761,1.11901,1.11279,1.11292,118795.8672
30.05.2017 00:00:00.000,1.11293,1.12059,1.11097,1.11731,185851.0625
31.05.2017 00:00:00.000,1.11731,1.12524,1.11646,1.12393,196187.4063
01.06.2017 00:00:00.000,1.12391,1.12569,1.12024,1.12131,169918.625
02.06.2017 00:00:00.000,1.12132,1.12852,1.12052,1.12851,162736.4688
04.06.2017 00:00:00.000,1.12769,1.12842,1.12737,1.12777,7069.48
05.06.2017 00:00:00.000,1.12777,1.12788,1.12345,1.12576,126250.7969
06.06.2017 00:00:00.000,1.12576,1.12843,1.12405,1.12706,169325.125
07.06.2017 00:00:00.000,1.12706,1.12827,1.12044,1.12560,187857.5469
08.06.2017 00:00:00.000,1.12559,1.12692,1.11802,1.11890,207753.7344
09.06.2017 00:00:00.000,1.11888,1.12160,1.11665,1.11975,198084.7813
11.06.2017 00:00:00.000,1.12109,1.12111,1.11975,1.12020,6261.3599
12.06.2017 00:00:00.000,1.12021,1.12324,1.11921,1.11978,166067.9844
13.06.2017 00:00:00.000,1.11977,1.12251,1.11856,1.12095,161288.6875
14.06.2017 00:00:00.000,1.12094,1.12960,1.11933,1.12132,229852.2344
15.06.2017 00:00:00.000,1.12133,1.12289,1.11323,1.11491,215214.8438
